Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies102955228,Salvar o fogo,Itamar Vieira Junior,"Junior, Itamar Vieira",,"=""6556924172""","=""9786556924175""",0,4.22,Todavia,Hardcover,320,2023,2023,,2024/09/07,to-read,to-read (#133),to-read,,,,0,0
6013876,"Anjos e Demónios (Robert Langdon, #1)",Dan       Brown,"Brown, Dan",Mário Dias Correia,"=""9722514091""","=""9789722514095""",3,3.94,Bertrand Editora,Paperback,588,2005,2000,2021/07/31,2021/05/26,2021,2021 (#17),read,já não tenho mais paciência pra esses finais,,,1,0
26026378,Olhos d'Água,Conceição Evaristo,"Evaristo, Conceição",,"=""8534705259""","=""9788534705257""",5,4.44,Pallas ,Paperback,116,2014,2014,2021/08/05,2021/03/22,2021,2021 (#16),read,"""O que temos em comum é pó do qual somos feitos. É o pó que nos faz, mais nada. Mas o meu pó corre mais perigo. Meu pó vira cinza mais rápido"". Foram tantas notas que quase não pude escolher uma.",,,1,0
38898355,O Peso do Pássaro Morto,Aline Bei,"Bei, Aline",,"=""8569020236""","=""9788569020233""",5,4.48,Editora Nós,Paperback,168,2017,2017,2021/08/05,2021/04/09,2021,2021 (#15),read,Incontáveis nós na minha garganta.,,,1,0
12015154,A Sombra do Vento,Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",J. Teixeira de Aguilar,"=""9896600813""","=""9789896600815""",5,4.30,Leya,Paperback,521,2011,2001,2021/10/01,2021/08/28,2021,2021 (#14),read,Perfeição,,,1,0
53100986,"Vermelho, Branco e Sangue Azul",Casey McQuiston,"McQuiston, Casey",Guilherme  Miranda,"=""8555340942""","=""9788555340949""",4,4.08,Seguinte,Paperback,392,2019,2019,2021/10/31,2021/05/20,2021,2021 (#13),read,Finais felizesssss!!! ,true,,1,0
53028909,Boa Noite Punpun vol. 2,Inio Asano,"Asano, Inio",,"=""8545712499""","=""9788545712497""",5,4.21,Editora JBC,Kindle Edition,432,,2007,2021/12/16,2021/12/05,"hqs-e-afins, 2021","hqs-e-afins (#7), 2021 (#12)",read,,,,1,0
30215344,A Mão Esquerda da Escuridão,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""9788576572442""",4,4.10,Editora Aleph,ebook,330,2015,1969,2021/12/29,2021/09/12,2021,2021 (#11),read,"Gostei muito, porém reconheço que foi um livro com ritmo de leitura lentíssimo. Meu interesse pela história oscilou bastante, pois os trechos de descrição dos ambientes e clima são repetitivos e maçantes e é só por isso que estou dando 4⭐. O que mais gostei além das questões de diplomacia foram as questões de gênero, as quais também interferem significativamente nas estruturas sociais do planeta Gethen, assim como ocorre na Terra ><. Excelente livro, quero ler mais autorAs de ficção científica!",,,1,0
29773435,Vozes de Tchernóbil: A História Oral do Desastre Nuclear,Svetlana Alexievich,"Alexievich, Svetlana",Sonia Branco,"=""8535927085""","=""9788535927085""",0,4.40,Companhia das Letras,Paperback,384,2016,1997,,2022/01/03,to-read,to-read (#88),to-read,,,,0,0
23276483,Sejamos todos feministas,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Christina Baum,"=""""","=""""",5,4.40,Companhia das Letras,Kindle Edition,38,2014,2012,,2021/12/20,,,read,Ainda quero ler muito mais desta autora! ♥️,,,1,0
55709278,Três Roteiros,Kleber Mendonça Filho,"Filho, Kleber Mendonça",Alceu Chiesorin Nunes,"=""8535933271""","=""9788535933277""",0,4.60,Companhia das Letras,Paperback,320,2020,2020,,2021/12/06,to-read,to-read (#87),to-read,,,,0,0
36634950,O diário de Anne Frank,Anne Frank,"Frank, Anne","Otto H. Frank, Mirjam Pressler, Alves Calado","=""9788501044""","=""""",0,4.19,Editora Record,Paperback,351,2017,1947,2021/11/29,2021/10/01,2021,2021 (#10),read,"Não existe classificação, nota, maneira qualquer de mensurar a importância e profundidade desse livro.",,,1,0
28804192,Pílulas Azuis,Frederik Peeters,"Peeters, Frederik",,"=""8582862121""","=""""",0,4.02,Nemo,Kindle Edition,212,2015,2001,,2021/10/10,to-read,to-read (#86),to-read,,,,0,0
41958014,Mulheres que correm com os lobos: Mitos e histórias do arquétipo da mulher selvagem,Clarissa Pinkola Estés,"Estés, Clarissa Pinkola",,"=""853252978X""","=""9788532529787""",0,4.13,Rocco,Hardcover,576,2018,1992,,2020/06/23,abandonado-temporariamente,abandonado-temporariamente (#2),abandonado-temporariamente,,,,0,0
50370906,Miss Davis (La vie et les combats d'Angela Davis),Sybille Titeux de la Croix,"Croix, Sybille Titeux de la",Amazing Améziane,"=""""","=""9782268102658""",0,4.08,Editions du Rocher,Hardcover,192,2020,2020,,2021/09/18,to-read,to-read (#85),to-read,,,,0,0
43700310,As alegrias da maternidade,Buchi Emecheta,"Emecheta, Buchi",Heloísa Jahn,"=""8583181128""","=""9788583181125""",0,4.20,Dublinense,Kindle Edition,320,2019,1979,,2021/09/15,to-read,to-read (#84),to-read,,,,0,0
34503807,Para Educar Crianças Feministas: Um manifesto,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""8535928510""","=""9788535928518""",0,4.51,Companhia das Letras ,Paperback,96,2017,2017,,2021/08/19,to-read,to-read (#83),to-read,,,,0,0
58737716,Feminismo Branco: das sufragistas às influenciadoras e quem elas deixam para trás,Koa Beck,"Beck, Koa",Bruna Barros,"=""6555111658""","=""9786555111651""",0,4.25,Harper Collins ,Paperback,384,2021,2021,,2021/08/17,to-read,to-read (#82),to-read,,,,0,0
57209409,"Tudo o que já nadei: Ressaca, quebra-mar e marolinhas",Letrux,"Letrux, Letrux",,"=""""","=""9786555352801""",0,3.78,Planeta,Paperback,160,2021,,,2021/08/11,to-read,to-read (#81),to-read,,,,0,0
55922484,Once Upon a Time in Hollywood,Quentin Tarantino,"Tarantino, Quentin",,"=""0063112523""","=""9780063112520""",0,3.88,Harper Perennial ,Paperback,400,2021,2021,,2021/08/10,to-read,to-read (#80),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",0,4.41,Atria Books,Hardcover,389,2017,2017,,2021/08/10,to-read,to-read (#79),to-read,,,,0,0
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""""","=""""",0,4.21,Ecco,Hardcover,304,2010,2010,,2021/05/28,to-read,to-read (#78),to-read,,,,0,0
36118422,As garotas,Emma Cline,"Cline, Emma",Sergio Flaksman,"=""8551001361""","=""9788551001363""",5,3.50,Intrínseca,Kindle Edition,333,2017,2016,2021/05/26,2021/05/19,2021,2021 (#8),read,,,,1,0
57406291,Interseccionalidade (Portuguese Edition),Patricia Hill Collins,"Collins, Patricia Hill","Sirma Bilge, Rane Souza, Winnie Bueno","=""6557170228""","=""9786557170229""",0,4.06,Boitempo,Kindle Edition,434,2021,2016,,2021/05/26,to-read,to-read (#77),to-read,,,,0,0
13414369,A Invenção de Hugo Cabret,Brian Selznick,"Selznick, Brian",Pedro M. Ferreira,"=""9895575629""","=""9789895575626""",0,4.22,Edições Gailivro,Hardcover,544,2008,2007,,2021/05/26,to-read,to-read (#76),to-read,,,,0,0
25504618,"A Rainha Vermelha (A Rainha Vermelha, #1)",Victoria Aveyard,"Aveyard, Victoria",Cristian Clemente,"=""8565765695""","=""9788565765695""",0,4.00,Seguinte,Paperback,424,2015,2015,,2021/05/20,to-read,to-read (#75),to-read,,,,0,0
23396345,A Ilha,Aldous Huxley,"Huxley, Aldous",Virgínia Motta,"=""972608251X""","=""9789726082514""",3,3.85,Antígona,Paperback,458,2014,1962,2021/05/19,2020/05/25,2021,2021 (#9),read,"Cumpre bem a proposta de ser um ponto de vista estritamente do autor, mas a forma como a narrativa é construída é cansativa por vezes. Ideologias marcantes e repleto de simbolismos, cai bem como uma crítica social atemporal do Ocidente. 3 ⭐ pois não me cativou tanto, por pouco não desisti.",,,1,0
1238901,O Alquimista,Paulo Coelho,"Coelho, Paulo",,"=""9727110797""","=""9789727110797""",2,3.91,Pergaminho,Paperback,240,1990,1988,2021/04/06,2021/04/06,2021,2021 (#7),read,,,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",0,4.02,Norton,Paperback,488,1986,1897,,2021/04/02,to-read,to-read (#74),to-read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",5,3.88,Penguin,Paperback,368,1995,1955,2021/03/27,2021/03/02,2021,2021 (#6),read,,,,1,0
24997929,Mulheres que não sabem chorar (Portuguese Edition),Lilian Farias,"Farias, Lilian",,"=""""","=""""",0,3.37,Giz Editorial,Kindle Edition,200,2014,2014,,2021/03/22,to-read,to-read (#73),to-read,,,,0,0
